unique_id,img_name,question,sub_task,prompt,choices,answer,target_size,target_class,image_id,file_name
2,/coco/val2017/000000135902.jpg,How many trains are in the image?,Count,"How many trains are in the image? Select from the following choices.
(A) 3
(B) 0
(C) 1
(D) 2
(E) 4","['3', '0', '1', '2', '4']",(D),283,train,count_10.png,images/count_10.png
3,/coco/val2017/000000505638.jpg,How many trains are in the image?,Count,"How many trains are in the image? Select from the following choices.
(A) 3
(B) 0
(C) 2
(D) 1","['3', '0', '2', '1']",(D),384,train,count_100.png,images/count_100.png
4,/coco/val2017/000000526751.jpg,How many boats are in the image?,Count,"How many boats are in the image? Select from the following choices.
(A) 8
(B) 6
(C) 0
(D) 10
(E) 9
(F) 7","['8', '6', '0', '10', '9', '7']",(A),337,boat,count_101.png,images/count_101.png
6,/coco/val2017/000000281929.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 0
(D) 2","['3', '1', '0', '2']",(B),549,person,count_103.png,images/count_103.png
7,/coco/val2017/000000066926.jpg,How many donuts are in the image?,Count,"How many donuts are in the image? Select from the following choices.
(A) 0
(B) 13
(C) 12
(D) 11
(E) 10
(F) 14","['0', '13', '12', '11', '10', '14']",(C),957,donut,count_104.png,images/count_104.png
8,/coco/val2017/000000062353.jpg,How many giraffes are in the image?,Count,"How many giraffes are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 5
(D) 0
(E) 3
(F) 4","['2', '1', '5', '0', '3', '4']",(E),895,giraffe,count_105.png,images/count_105.png
10,/coco/val2017/000000256192.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 0
(B) 15
(C) 13
(D) 14
(E) 12
(F) 16","['0', '15', '13', '14', '12', '16']",(D),145,person,count_107.png,images/count_107.png
12,/coco/val2017/000000140076.jpg,How many dining tables are in the image?,Count,"How many dining tables are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 0
(D) 1","['3', '2', '0', '1']",(D),216,dining table,count_109.png,images/count_109.png
13,/coco/val2017/000000183437.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 6
(B) 3
(C) 4
(D) 0
(E) 2
(F) 5","['6', '3', '4', '0', '2', '5']",(C),503,person,count_11.png,images/count_11.png
14,/coco/val2017/000000028285.jpg,How many clocks are in the image?,Count,"How many clocks are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 3
(D) 0","['2', '1', '3', '0']",(B),431,clock,count_110.png,images/count_110.png
15,/coco/val2017/000000286994.jpg,How many elephants are in the image?,Count,"How many elephants are in the image? Select from the following choices.
(A) 10
(B) 7
(C) 0
(D) 8
(E) 9
(F) 11","['10', '7', '0', '8', '9', '11']",(E),170,elephant,count_111.png,images/count_111.png
17,/coco/val2017/000000527750.jpg,How many bowls are in the image?,Count,"How many bowls are in the image? Select from the following choices.
(A) 0
(B) 3
(C) 1
(D) 4
(E) 2","['0', '3', '1', '4', '2']",(E),332,bowl,count_113.png,images/count_113.png
18,/coco/val2017/000000330818.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 3
(B) 0
(C) 1
(D) 2","['3', '0', '1', '2']",(C),281,person,count_114.png,images/count_114.png
21,/coco/val2017/000000046872.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 4
(D) 0
(E) 1","['2', '3', '4', '0', '1']",(A),349,person,count_117.png,images/count_117.png
24,/coco/val2017/000000478862.jpg,How many airplanes are in the image?,Count,"How many airplanes are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 3","['1', '0', '2', '3']",(A),258,airplane,count_12.png,images/count_12.png
26,/coco/val2017/000000100274.jpg,How many trucks are in the image?,Count,"How many trucks are in the image? Select from the following choices.
(A) 5
(B) 3
(C) 0
(D) 4
(E) 2
(F) 1","['5', '3', '0', '4', '2', '1']",(B),159,truck,count_121.png,images/count_121.png
29,/coco/val2017/000000060886.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 12
(B) 13
(C) 15
(D) 14
(E) 0
(F) 16","['12', '13', '15', '14', '0', '16']",(D),296,person,count_124.png,images/count_124.png
31,/coco/val2017/000000357748.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 4
(D) 6
(E) 5
(F) 0","['3', '2', '4', '6', '5', '0']",(C),323,person,count_126.png,images/count_126.png
32,/coco/val2017/000000109441.jpg,How many traffic lights are in the image?,Count,"How many traffic lights are in the image? Select from the following choices.
(A) 0
(B) 8
(C) 6
(D) 9
(E) 7
(F) 5","['0', '8', '6', '9', '7', '5']",(E),96,traffic light,count_127.png,images/count_127.png
33,/coco/val2017/000000216419.jpg,How many clocks are in the image?,Count,"How many clocks are in the image? Select from the following choices.
(A) 0
(B) 3
(C) 2
(D) 1","['0', '3', '2', '1']",(D),919,clock,count_128.png,images/count_128.png
34,/coco/val2017/000000581062.jpg,How many skateboards are in the image?,Count,"How many skateboards are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 0
(D) 3","['2', '1', '0', '3']",(B),371,skateboard,count_129.png,images/count_129.png
35,/coco/val2017/000000199395.jpg,How many boats are in the image?,Count,"How many boats are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 3
(D) 1","['0', '2', '3', '1']",(D),37,boat,count_13.png,images/count_13.png
37,/coco/val2017/000000568147.jpg,How many parking meters are in the image?,Count,"How many parking meters are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 2
(D) 0","['3', '1', '2', '0']",(B),314,parking meter,count_131.png,images/count_131.png
39,/coco/val2017/000000568439.jpg,How many backpacks are in the image?,Count,"How many backpacks are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 4
(E) 3","['1', '0', '2', '4', '3']",(C),371,backpack,count_133.png,images/count_133.png
40,/coco/val2017/000000327890.jpg,How many benchs are in the image?,Count,"How many benchs are in the image? Select from the following choices.
(A) 6
(B) 2
(C) 5
(D) 3
(E) 0
(F) 4","['6', '2', '5', '3', '0', '4']",(F),119,bench,count_134.png,images/count_134.png
42,/coco/val2017/000000231549.jpg,How many beds are in the image?,Count,"How many beds are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 0
(D) 2","['1', '3', '0', '2']",(A),428,bed,count_136.png,images/count_136.png
43,/coco/val2017/000000076261.jpg,How many birds are in the image?,Count,"How many birds are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 2
(D) 4
(E) 0","['3', '1', '2', '4', '0']",(C),496,bird,count_137.png,images/count_137.png
45,/coco/val2017/000000523957.jpg,How many skateboards are in the image?,Count,"How many skateboards are in the image? Select from the following choices.
(A) 2
(B) 4
(C) 1
(D) 0
(E) 3","['2', '4', '1', '0', '3']",(A),229,skateboard,count_139.png,images/count_139.png
46,/coco/val2017/000000577959.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 0
(D) 2","['3', '1', '0', '2']",(B),598,person,count_14.png,images/count_14.png
47,/coco/val2017/000000055528.jpg,How many toothbrushs are in the image?,Count,"How many toothbrushs are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 1
(D) 0","['2', '3', '1', '0']",(C),87,toothbrush,count_140.png,images/count_140.png
50,/coco/val2017/000000037689.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 16
(B) 14
(C) 15
(D) 13
(E) 12
(F) 0","['16', '14', '15', '13', '12', '0']",(B),335,person,count_143.png,images/count_143.png
51,/coco/val2017/000000057150.jpg,How many teddy bears are in the image?,Count,"How many teddy bears are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 3
(D) 4
(E) 0","['1', '2', '3', '4', '0']",(B),441,teddy bear,count_144.png,images/count_144.png
52,/coco/val2017/000000146825.jpg,How many trains are in the image?,Count,"How many trains are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 3","['1', '0', '2', '3']",(A),710,train,count_145.png,images/count_145.png
54,/coco/val2017/000000447342.jpg,How many buss are in the image?,Count,"How many buss are in the image? Select from the following choices.
(A) 1
(B) 2
(C) 3
(D) 0","['1', '2', '3', '0']",(A),186,bus,count_147.png,images/count_147.png
55,/coco/val2017/000000110211.jpg,How many zebras are in the image?,Count,"How many zebras are in the image? Select from the following choices.
(A) 7
(B) 3
(C) 4
(D) 5
(E) 6
(F) 0","['7', '3', '4', '5', '6', '0']",(C),971,zebra,count_148.png,images/count_148.png
56,/coco/val2017/000000376365.jpg,How many cups are in the image?,Count,"How many cups are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 2
(D) 0","['3', '1', '2', '0']",(B),416,cup,count_149.png,images/count_149.png
57,/coco/val2017/000000054967.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 3
(D) 1","['2', '0', '3', '1']",(D),388,person,count_15.png,images/count_15.png
58,/coco/val2017/000000186632.jpg,How many sinks are in the image?,Count,"How many sinks are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0","['1', '3', '2', '0']",(A),458,sink,count_150.png,images/count_150.png
59,/coco/val2017/000000414676.jpg,How many clocks are in the image?,Count,"How many clocks are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 0
(D) 4
(E) 3","['2', '1', '0', '4', '3']",(A),580,clock,count_151.png,images/count_151.png
60,/coco/val2017/000000129416.jpg,How many cows are in the image?,Count,"How many cows are in the image? Select from the following choices.
(A) 10
(B) 7
(C) 9
(D) 0
(E) 11
(F) 8","['10', '7', '9', '0', '11', '8']",(C),373,cow,count_152.png,images/count_152.png
62,/coco/val2017/000000111086.jpg,How many cars are in the image?,Count,"How many cars are in the image? Select from the following choices.
(A) 10
(B) 0
(C) 14
(D) 13
(E) 12
(F) 11","['10', '0', '14', '13', '12', '11']",(E),669,car,count_154.png,images/count_154.png
63,/coco/val2017/000000448365.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 0
(D) 2","['1', '3', '0', '2']",(A),289,person,count_155.png,images/count_155.png
64,/coco/val2017/000000005037.jpg,How many buss are in the image?,Count,"How many buss are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 1
(D) 0","['2', '3', '1', '0']",(C),255,bus,count_156.png,images/count_156.png
66,/coco/val2017/000000058350.jpg,How many knifes are in the image?,Count,"How many knifes are in the image? Select from the following choices.
(A) 4
(B) 1
(C) 3
(D) 2
(E) 0","['4', '1', '3', '2', '0']",(D),651,knife,count_158.png,images/count_158.png
70,/coco/val2017/000000119828.jpg,How many mouses are in the image?,Count,"How many mouses are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 0
(D) 1","['3', '2', '0', '1']",(D),533,mouse,count_161.png,images/count_161.png
71,/coco/val2017/000000463199.jpg,How many handbags are in the image?,Count,"How many handbags are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 3","['1', '0', '2', '3']",(A),458,handbag,count_162.png,images/count_162.png
73,/coco/val2017/000000109313.jpg,How many cups are in the image?,Count,"How many cups are in the image? Select from the following choices.
(A) 3
(B) 4
(C) 2
(D) 1
(E) 0","['3', '4', '2', '1', '0']",(C),439,cup,count_164.png,images/count_164.png
76,/coco/val2017/000000552842.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 1
(B) 3
(C) 2
(D) 0","['1', '3', '2', '0']",(A),255,person,count_167.png,images/count_167.png
77,/coco/val2017/000000034452.jpg,How many frisbees are in the image?,Count,"How many frisbees are in the image? Select from the following choices.
(A) 1
(B) 0
(C) 2
(D) 3
(E) 4","['1', '0', '2', '3', '4']",(C),204,frisbee,count_168.png,images/count_168.png
78,/coco/val2017/000000086755.jpg,How many backpacks are in the image?,Count,"How many backpacks are in the image? Select from the following choices.
(A) 2
(B) 1
(C) 3
(D) 0","['2', '1', '3', '0']",(B),519,backpack,count_169.png,images/count_169.png
80,/coco/val2017/000000219440.jpg,How many cows are in the image?,Count,"How many cows are in the image? Select from the following choices.
(A) 0
(B) 4
(C) 6
(D) 3
(E) 7
(F) 5","['0', '4', '6', '3', '7', '5']",(F),213,cow,count_170.png,images/count_170.png
81,/coco/val2017/000000047112.jpg,How many wine glasss are in the image?,Count,"How many wine glasss are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 2
(D) 4
(E) 0","['3', '1', '2', '4', '0']",(C),157,wine glass,count_171.png,images/count_171.png
83,/coco/val2017/000000157847.jpg,How many birds are in the image?,Count,"How many birds are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 1
(D) 0","['3', '2', '1', '0']",(C),189,bird,count_173.png,images/count_173.png
84,/coco/val2017/000000266981.jpg,How many cars are in the image?,Count,"How many cars are in the image? Select from the following choices.
(A) 13
(B) 0
(C) 14
(D) 12
(E) 10
(F) 11","['13', '0', '14', '12', '10', '11']",(D),137,car,count_174.png,images/count_174.png
85,/coco/val2017/000000427055.jpg,How many stop signs are in the image?,Count,"How many stop signs are in the image? Select from the following choices.
(A) 3
(B) 1
(C) 0
(D) 2","['3', '1', '0', '2']",(B),644,stop sign,count_175.png,images/count_175.png
88,/coco/val2017/000000153529.jpg,How many handbags are in the image?,Count,"How many handbags are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 4
(D) 1
(E) 3","['2', '0', '4', '1', '3']",(A),68,handbag,count_178.png,images/count_178.png
90,/coco/val2017/000000219271.jpg,How many trucks are in the image?,Count,"How many trucks are in the image? Select from the following choices.
(A) 7
(B) 6
(C) 4
(D) 0
(E) 5
(F) 3","['7', '6', '4', '0', '5', '3']",(E),742,truck,count_18.png,images/count_18.png
91,/coco/val2017/000000239627.jpg,How many bottles are in the image?,Count,"How many bottles are in the image? Select from the following choices.
(A) 0
(B) 4
(C) 2
(D) 3
(E) 1","['0', '4', '2', '3', '1']",(C),950,bottle,count_180.png,images/count_180.png
92,/coco/val2017/000000515445.jpg,How many surfboards are in the image?,Count,"How many surfboards are in the image? Select from the following choices.
(A) 4
(B) 3
(C) 2
(D) 1
(E) 0","['4', '3', '2', '1', '0']",(C),796,surfboard,count_181.png,images/count_181.png
93,/coco/val2017/000000090108.jpg,How many toilets are in the image?,Count,"How many toilets are in the image? Select from the following choices.
(A) 0
(B) 3
(C) 2
(D) 1","['0', '3', '2', '1']",(D),346,toilet,count_182.png,images/count_182.png
95,/coco/val2017/000000043435.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 0
(D) 4
(E) 1","['2', '3', '0', '4', '1']",(A),883,person,count_184.png,images/count_184.png
96,/coco/val2017/000000311295.jpg,How many zebras are in the image?,Count,"How many zebras are in the image? Select from the following choices.
(A) 4
(B) 2
(C) 5
(D) 6
(E) 0
(F) 3","['4', '2', '5', '6', '0', '3']",(A),431,zebra,count_185.png,images/count_185.png
99,/coco/val2017/000000505942.jpg,How many traffic lights are in the image?,Count,"How many traffic lights are in the image? Select from the following choices.
(A) 6
(B) 0
(C) 2
(D) 5
(E) 3
(F) 4","['6', '0', '2', '5', '3', '4']",(F),693,traffic light,count_188.png,images/count_188.png
100,/coco/val2017/000000527215.jpg,How many kites are in the image?,Count,"How many kites are in the image? Select from the following choices.
(A) 2
(B) 3
(C) 1
(D) 0
(E) 4","['2', '3', '1', '0', '4']",(A),129,kite,count_189.png,images/count_189.png
101,/coco/val2017/000000425925.jpg,How many clocks are in the image?,Count,"How many clocks are in the image? Select from the following choices.
(A) 1
(B) 4
(C) 0
(D) 2
(E) 3","['1', '4', '0', '2', '3']",(D),217,clock,count_19.png,images/count_19.png
102,/coco/val2017/000000225184.jpg,How many sheeps are in the image?,Count,"How many sheeps are in the image? Select from the following choices.
(A) 2
(B) 0
(C) 5
(D) 3
(E) 4
(F) 1","['2', '0', '5', '3', '4', '1']",(D),948,sheep,count_190.png,images/count_190.png
103,/coco/val2017/000000115946.jpg,How many persons are in the image?,Count,"How many persons are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 0
(D) 1","['3', '2', '0', '1']",(D),539,person,count_191.png,images/count_191.png
104,/coco/val2017/000000346232.jpg,How many cars are in the image?,Count,"How many cars are in the image? Select from the following choices.
(A) 3
(B) 4
(C) 1
(D) 0
(E) 2","['3', '4', '1', '0', '2']",(E),385,car,count_192.png,images/count_192.png
106,/coco/val2017/000000014473.jpg,How many trains are in the image?,Count,"How many trains are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 1
(D) 3","['0', '2', '1', '3']",(C),426,train,count_194.png,images/count_194.png
107,/coco/val2017/000000423104.jpg,How many frisbees are in the image?,Count,"How many frisbees are in the image? Select from the following choices.
(A) 3
(B) 2
(C) 0
(D) 1","['3', '2', '0', '1']",(D),314,frisbee,count_195.png,images/count_195.png
108,/coco/val2017/000000349480.jpg,How many handbags are in the image?,Count,"How many handbags are in the image? Select from the following choices.
(A) 0
(B) 2
(C) 1
(D) 3","['0', '2', '1', '3']",(C),822,handbag,count_196.png,images/count_196.png
